masa_A
t	x	y
0,000000000E0	-2,362279996E1	-2,381058072E1
1,668333333E-2	-2,354794464E1	-2,392335277E1
3,336666667E-2	-2,351949706E1	-2,412199323E1
5,005000000E-2	-2,350774054E1	-2,439632029E1
6,673333333E-2	-2,349923005E1	-2,474917349E1
8,341666667E-2	-2,346740933E1	-2,515651270E1
1,001000000E-1	-2,340676112E1	-2,562445731E1
1,167833333E-1	-2,333285026E1	-2,616134181E1
1,334666667E-1	-2,323884606E1	-2,675905306E1
1,501500000E-1	-2,309130345E1	-2,747665633E1
1,668333333E-1	-2,291838516E1	-2,824155145E1
1,835166667E-1	-2,263968357E1	-2,903633223E1
2,002000000E-1	-2,231134914E1	-2,990075933E1
2,168833333E-1	-2,186725484E1	-3,076116680E1
2,335666667E-1	-2,136804984E1	-3,166997315E1
2,502500000E-1	-2,075193969E1	-3,262284387E1
2,669333333E-1	-2,004948412E1	-3,355143537E1
2,836166667E-1	-1,926725361E1	-3,446681435E1
3,003000000E-1	-1,832057433E1	-3,537769422E1
3,169833333E-1	-1,732241358E1	-3,621309728E1
3,336666667E-1	-1,620906825E1	-3,698819531E1
3,503500000E-1	-1,502893199E1	-3,769252775E1
3,670333333E-1	-1,369387785E1	-3,824513926E1
3,837166667E-1	-1,230787449E1	-3,876015218E1
4,004000000E-1	-1,085937637E1	-3,911689720E1
4,170833333E-1	-9,422001473E0	-3,934785112E1
4,337666667E-1	-7,929636310E0	-3,942596364E1
4,504500000E-1	-6,463071902E0	-3,940104103E1
4,671333333E-1	-4,997385173E0	-3,918796623E1
4,838166667E-1	-3,652478527E0	-3,889158341E1
5,005000000E-1	-2,276031461E0	-3,842661020E1
5,171833333E-1	-1,051069286E0	-3,792312930E1
5,338666667E-1	1,505413769E-1	-3,730756974E1
5,505500000E-1	1,174332340E0	-3,660903067E1
5,672333333E-1	2,197509251E0	-3,586224652E1
5,839166667E-1	3,124520791E0	-3,500626044E1
6,006000000E-1	3,969039103E0	-3,410422655E1
6,172833333E-1	4,702234380E0	-3,324110962E1
6,339666667E-1	5,353936270E0	-3,234356781E1
6,506500000E-1	5,868494495E0	-3,149080076E1
6,673333333E-1	6,316944336E0	-3,060736600E1
6,840166667E-1	6,696192873E0	-2,980502204E1
7,007000000E-1	7,004256760E0	-2,902693704E1
7,173833333E-1	7,252769120E0	-2,830767400E1
7,340666667E-1	7,442976794E0	-2,764443115E1
7,507500000E-1	7,572355964E0	-2,708388566E1
7,674333333E-1	7,672813643E0	-2,657208369E1
7,841166667E-1	7,769439989E0	-2,607871982E1
8,008000000E-1	7,831143668E0	-2,565299718E1
8,174833333E-1	7,867383810E0	-2,530822356E1
8,341666667E-1	7,880241950E0	-2,507400345E1
8,508500000E-1	7,872871713E0	-2,488387764E1
8,675333333E-1	7,861638248E0	-2,476573722E1
8,842166667E-1	7,866779946E0	-2,472907691E1
9,009000000E-1	7,869551787E0	-2,476023582E1
9,175833333E-1	7,864523108E0	-2,486979497E1
9,342666667E-1	7,862428708E0	-2,500606154E1
9,509500000E-1	7,845190741E0	-2,522922300E1
9,676333333E-1	7,797069812E0	-2,552638961E1
9,843166667E-1	7,748539292E0	-2,592967397E1
1,001000000E0	7,681586287E0	-2,637986646E1
1,017683333E0	7,603851850E0	-2,689406552E1
1,034366667E0	7,464707768E0	-2,748684730E1
1,051050000E0	7,282610700E0	-2,815410412E1
1,067733333E0	7,086101259E0	-2,883488078E1
1,084416667E0	6,776372155E0	-2,959931648E1
1,101100000E0	6,435319825E0	-3,041078510E1
1,117783333E0	6,010014167E0	-3,123144931E1
1,134466667E0	5,539923386E0	-3,209006360E1
1,151150000E0	4,928748336E0	-3,297694849E1
1,167833333E0	4,242403942E0	-3,386774490E1
1,184516667E0	3,433418551E0	-3,475694318E1
1,201200000E0	2,527314232E0	-3,554826200E1
1,217883333E0	1,538220765E0	-3,637329618E1
1,234566667E0	4,517113201E-1	-3,708771674E1
1,251250000E0	-7,322697964E-1	-3,774447726E1
1,267933333E0	-1,935364384E0	-3,830799707E1
1,284616667E0	-3,314397000E0	-3,876436839E1
1,301300000E0	-4,693933331E0	-3,910365476E1
