masa_A
t	x	v_{x}
0,000000000E0	9,895097917E-1	
6,666666667E-2	9,926655856E-1	6,450993542E-1
1,000000000E-1	1,054019727E0	3,513635281E0
1,333333333E-1	1,226907938E0	6,721812737E0
1,666666667E-1	1,502140576E0	9,918632082E0
2,000000000E-1	1,888150077E0	1,360020342E1
2,333333333E-1	2,408820805E0	1,714279064E1
2,666666667E-1	3,031002786E0	2,007844980E1
3,000000000E-1	3,747384125E0	2,447274708E1
3,333333333E-1	4,662519258E0	2,816790772E1
3,666666667E-1	5,625244639E0	4,348110241E1
4,000000000E-1	7,561259419E0	
