masa_A
t	x	v_{x}
0,000000000E0	9,537028519E-2	
6,666666667E-2	9,932069425E-2	6,555359361E-1
1,000000000E-1	1,609238788E-1	3,526292235E0
1,333333333E-1	3,344068432E-1	6,831076820E0
1,666666667E-1	6,163290001E-1	9,519786902E0
2,000000000E-1	9,690593034E-1	1,212248520E1
2,333333333E-1	1,424494680E0	1,486694942E1
2,666666667E-1	1,960189265E0	1,736432842E1
3,000000000E-1	2,582116575E0	1,983993093E1
3,333333333E-1	3,282851327E0	2,217210459E1
3,666666667E-1	4,060256881E0	2,427783766E1
4,000000000E-1	4,901373837E0	
